"Handle","Title","Image Src","Image Position","Image Alt Text"
"khamrah-lattafa","Khamrah Lattafa 100 ML","https://cdn.shopify.com/s/files/1/0999/6052/1075/files/khamrah-lattafa.jpg","1","Khamrah Lattafa 100 ML"
"yara-lattafa","Yara Lattafa 100 ML","https://cdn.shopify.com/s/files/1/0999/6052/1075/files/yara-lattafa.jpg","1","Yara Lattafa 100 ML"
"asad-lattafa","Asad Lattafa 100 ML","https://cdn.shopify.com/s/files/1/0999/6052/1075/files/asad-lattafa.jpg","1","Asad Lattafa 100 ML"
"oud-for-glory-cofre","Oud For Glory Cofre 100 ML","https://cdn.shopify.com/s/files/1/0999/6052/1075/files/oud-for-glory-cofre.jpg","1","Oud For Glory Cofre 100 ML"
"erba-pura-caja","Erba Pura en Caja 100 ML","https://cdn.shopify.com/s/files/1/0999/6052/1075/files/erba-pura-caja.jpg","1","Erba Pura en Caja 100 ML"
"mayar-lattafa","Mayar Lattafa 100 ML","https://cdn.shopify.com/s/files/1/0999/6052/1075/files/mayar-lattafa.jpg","1","Mayar Lattafa 100 ML"
"fakhar-black","Fakhár Black 100 ML","https://cdn.shopify.com/s/files/1/0999/6052/1075/files/fakhar-black.jpg","1","Fakhár Black 100 ML"
"eclaire-lattafa","Eclaire Lattafa 100 ML","https://cdn.shopify.com/s/files/1/0999/6052/1075/files/eclaire-lattafa.jpg","1","Eclaire Lattafa 100 ML"
"sauvage-dior","Sauvage Dior 100 ML","https://cdn.shopify.com/s/files/1/0999/6052/1075/files/sauvage-dior.jpg","1","Sauvage Dior 100 ML"
"one-million","One Million 100 ML","https://cdn.shopify.com/s/files/1/0999/6052/1075/files/one-million.jpg","1","One Million 100 ML"
"invictus","Invictus 100 ML","https://cdn.shopify.com/s/files/1/0999/6052/1075/files/invictus.jpg","1","Invictus 100 ML"
"le-male-elixir","Le Male Elixir 120 ML","https://cdn.shopify.com/s/files/1/0999/6052/1075/files/le-male-elixir.jpg","1","Le Male Elixir 120 ML"
"stronger-with-you","Stronger With You 100 ML","https://cdn.shopify.com/s/files/1/0999/6052/1075/files/stronger-with-you.jpg","1","Stronger With You 100 ML"
"valentino-uomo","Valentino Uomo 100 ML","https://cdn.shopify.com/s/files/1/0999/6052/1075/files/valentino-uomo.jpg","1","Valentino Uomo 100 ML"
"fahrenheit-dior","Fahrenheit Dior 100 ML","https://cdn.shopify.com/s/files/1/0999/6052/1075/files/fahrenheit-dior.jpg","1","Fahrenheit Dior 100 ML"
"good-girl","Good Girl 80 ML","https://cdn.shopify.com/s/files/1/0999/6052/1075/files/good-girl.jpg","1","Good Girl 80 ML"
"212-vip-rose","212 VIP Rosé 80 ML","https://cdn.shopify.com/s/files/1/0999/6052/1075/files/212-vip-rose.jpg","1","212 VIP Rosé 80 ML"
"bombshell","Bombshell 100 ML","https://cdn.shopify.com/s/files/1/0999/6052/1075/files/bombshell.jpg","1","Bombshell 100 ML"
"ch-woman","CH Woman 100 ML","https://cdn.shopify.com/s/files/1/0999/6052/1075/files/ch-woman.jpg","1","CH Woman 100 ML"
"cloud-ariana-grande","Cloud Ariana Grande 100 ML","https://cdn.shopify.com/s/files/1/0999/6052/1075/files/cloud-ariana-grande.jpg","1","Cloud Ariana Grande 100 ML"
"love-me-tous","Love Me Tous 90 ML","https://cdn.shopify.com/s/files/1/0999/6052/1075/files/love-me-tous.jpg","1","Love Me Tous 90 ML"
"good-girl-blush","Good Girl Blush 80 ML","https://cdn.shopify.com/s/files/1/0999/6052/1075/files/good-girl-blush.jpg","1","Good Girl Blush 80 ML"
"orientica-royal-amber-body-spray","Orientica Royal Amber Body Spray 200 ML","https://cdn.shopify.com/s/files/1/0999/6052/1075/files/orientica-royal-amber-body-spray.jpg","1","Orientica Royal Amber Body Spray 200 ML"
"club-de-nuit-intense-body-spray","Club de Nuit Intense Man Body Spray 200 ML","https://cdn.shopify.com/s/files/1/0999/6052/1075/files/club-de-nuit-intense-body-spray.jpg","1","Club de Nuit Intense Man Body Spray 200 ML"
"yara-body-spray","Yara Body Spray 200 ML","https://cdn.shopify.com/s/files/1/0999/6052/1075/files/yara-body-spray.jpg","1","Yara Body Spray 200 ML"
"set-mini-khamrah-30ml","Set Mini Khamrah 30 ML (Dukhan + Qawha + Khamrah)","https://cdn.shopify.com/s/files/1/0999/6052/1075/files/set-mini-khamrah-30ml.jpg","1","Set Mini Khamrah 30 ML (Dukhan + Qawha + Khamrah)"
"set-mini-yara-30ml-x4","Set Mini Yara 30 ML x4 (todas dama)","https://cdn.shopify.com/s/files/1/0999/6052/1075/files/set-mini-yara-30ml-x4.jpg","1","Set Mini Yara 30 ML x4 (todas dama)"
"set-bolso-crema-perfume-yara","Set Bolso + Crema + Perfume 60 ML + Yara","https://cdn.shopify.com/s/files/1/0999/6052/1075/files/set-bolso-crema-perfume-yara.jpg","1","Set Bolso + Crema + Perfume 60 ML + Yara"
"erba-pura-en-cofre-100-ml","Erba Pura en Cofre 100 ML","https://cdn.shopify.com/s/files/1/0999/6052/1075/files/erba-pura-en-cofre-100-ml.jpg","1","Erba Pura en Cofre 100 ML"
"erba-pura-tipo-original-cofre-100-ml","Erba Pura Tipo Original Cofre 100 ML","https://cdn.shopify.com/s/files/1/0999/6052/1075/files/erba-pura-tipo-original-cofre-100-ml.jpg","1","Erba Pura Tipo Original Cofre 100 ML"
"xerjoff-alexandria-ii-100-ml","Xerjoff Alexandria II 100 ML","https://cdn.shopify.com/s/files/1/0999/6052/1075/files/xerjoff-alexandria-ii-100-ml.jpg","1","Xerjoff Alexandria II 100 ML"
"afeef-lattafa-100-ml","Afeef Lattafa 100 ML","https://cdn.shopify.com/s/files/1/0999/6052/1075/files/afeef-lattafa-100-ml.jpg","1","Afeef Lattafa 100 ML"
"berry-on-top-100-ml","Berry On Top 100 ML","https://cdn.shopify.com/s/files/1/0999/6052/1075/files/berry-on-top-100-ml.jpg","1","Berry On Top 100 ML"
"mallow-madness-100-ml","Mallow Madness 100 ML","https://cdn.shopify.com/s/files/1/0999/6052/1075/files/mallow-madness-100-ml.jpg","1","Mallow Madness 100 ML"
"vanilla-freak-100-ml","Vanilla Freak 100 ML","https://cdn.shopify.com/s/files/1/0999/6052/1075/files/vanilla-freak-100-ml.jpg","1","Vanilla Freak 100 ML"
"whipped-pleasure-100-ml","Whipped Pleasure 100 ML","https://cdn.shopify.com/s/files/1/0999/6052/1075/files/whipped-pleasure-100-ml.jpg","1","Whipped Pleasure 100 ML"
"choco-overdose-100-ml","Choco Overdose 100 ML","https://cdn.shopify.com/s/files/1/0999/6052/1075/files/choco-overdose-100-ml.jpg","1","Choco Overdose 100 ML"
"cookie-crave-100-ml","Cookie Crave 100 ML","https://cdn.shopify.com/s/files/1/0999/6052/1075/files/cookie-crave-100-ml.jpg","1","Cookie Crave 100 ML"
"arte-del-universo-100-ml","Arte del Universo 100 ML","https://cdn.shopify.com/s/files/1/0999/6052/1075/files/arte-del-universo-100-ml.jpg","1","Arte del Universo 100 ML"
"haya-lattafa-cofre-100-ml","Haya Lattafa Cofre 100 ML","https://cdn.shopify.com/s/files/1/0999/6052/1075/files/haya-lattafa-cofre-100-ml.jpg","1","Haya Lattafa Cofre 100 ML"
"haya-lattafa-caja-100-ml","Haya Lattafa Caja 100 ML","https://cdn.shopify.com/s/files/1/0999/6052/1075/files/haya-lattafa-caja-100-ml.jpg","1","Haya Lattafa Caja 100 ML"
"emaan-lattafa-100-ml","Emaan Lattafa 100 ML","https://cdn.shopify.com/s/files/1/0999/6052/1075/files/emaan-lattafa-100-ml.jpg","1","Emaan Lattafa 100 ML"
"sakina-lattafa-100-ml","Sakina Lattafa 100 ML","https://cdn.shopify.com/s/files/1/0999/6052/1075/files/sakina-lattafa-100-ml.jpg","1","Sakina Lattafa 100 ML"
"victoria-by-lattafa-100-ml","Victoria by Lattafa 100 ML","https://cdn.shopify.com/s/files/1/0999/6052/1075/files/victoria-by-lattafa-100-ml.jpg","1","Victoria by Lattafa 100 ML"
"his-confession-men-100-ml","His Confession Men 100 ML","https://cdn.shopify.com/s/files/1/0999/6052/1075/files/his-confession-men-100-ml.jpg","1","His Confession Men 100 ML"
"her-confession-dama-100-ml","Her Confession Dama 100 ML","https://cdn.shopify.com/s/files/1/0999/6052/1075/files/her-confession-dama-100-ml.jpg","1","Her Confession Dama 100 ML"
"khamrah-lattafa-cofre-100-ml","Khamrah Lattafa Cofre 100 ML","https://cdn.shopify.com/s/files/1/0999/6052/1075/files/khamrah-lattafa-cofre-100-ml.jpg","1","Khamrah Lattafa Cofre 100 ML"
"khamrah-qawha-cofre-100-ml","Khamrah Qawha Cofre 100 ML","https://cdn.shopify.com/s/files/1/0999/6052/1075/files/khamrah-qawha-cofre-100-ml.jpg","1","Khamrah Qawha Cofre 100 ML"
"khamrah-qawha-caja-100-ml","Khamrah Qawha Caja 100 ML","https://cdn.shopify.com/s/files/1/0999/6052/1075/files/khamrah-qawha-caja-100-ml.jpg","1","Khamrah Qawha Caja 100 ML"
"khamrah-dukhan-cofre-100-ml","Khamrah Dukhan Cofre 100 ML","https://cdn.shopify.com/s/files/1/0999/6052/1075/files/khamrah-dukhan-cofre-100-ml.jpg","1","Khamrah Dukhan Cofre 100 ML"
"khamrah-dukhan-caja-100-ml","Khamrah Dukhan Caja 100 ML","https://cdn.shopify.com/s/files/1/0999/6052/1075/files/khamrah-dukhan-caja-100-ml.jpg","1","Khamrah Dukhan Caja 100 ML"
"musaman-black-intense-100-ml","Musaman Black Intense 100 ML","https://cdn.shopify.com/s/files/1/0999/6052/1075/files/musaman-black-intense-100-ml.jpg","1","Musaman Black Intense 100 ML"
"musaman-white-intense-100-ml","Musaman White Intense 100 ML","https://cdn.shopify.com/s/files/1/0999/6052/1075/files/musaman-white-intense-100-ml.jpg","1","Musaman White Intense 100 ML"
"musaman-100-ml","Musaman 100 ML","https://cdn.shopify.com/s/files/1/0999/6052/1075/files/musaman-100-ml.jpg","1","Musaman 100 ML"
"now-woman-lattafa-100-ml","Now Woman Lattafa 100 ML","https://cdn.shopify.com/s/files/1/0999/6052/1075/files/now-woman-lattafa-100-ml.jpg","1","Now Woman Lattafa 100 ML"
"teriaq-lattafa-100-ml","Teriaq Lattafa 100 ML","https://cdn.shopify.com/s/files/1/0999/6052/1075/files/teriaq-lattafa-100-ml.jpg","1","Teriaq Lattafa 100 ML"
"eclaire-pistache-100-ml","Eclaire Pistache 100 ML","https://cdn.shopify.com/s/files/1/0999/6052/1075/files/eclaire-pistache-100-ml.jpg","1","Eclaire Pistache 100 ML"
"eclaire-bananofi-100-ml","Eclaire Bananofi 100 ML","https://cdn.shopify.com/s/files/1/0999/6052/1075/files/eclaire-bananofi-100-ml.jpg","1","Eclaire Bananofi 100 ML"
"mayar-cherry-intense-100-ml","Mayar Cherry Intense 100 ML","https://cdn.shopify.com/s/files/1/0999/6052/1075/files/mayar-cherry-intense-100-ml.jpg","1","Mayar Cherry Intense 100 ML"
"mayar-natural-intense-100-ml","Mayar Natural Intense 100 ML","https://cdn.shopify.com/s/files/1/0999/6052/1075/files/mayar-natural-intense-100-ml.jpg","1","Mayar Natural Intense 100 ML"
"yara-lattafa-elixir-100-ml","Yara Lattafa Elixir 100 ML","https://cdn.shopify.com/s/files/1/0999/6052/1075/files/yara-lattafa-elixir-100-ml.jpg","1","Yara Lattafa Elixir 100 ML"
"yara-candy-100-ml","Yara Candy 100 ML","https://cdn.shopify.com/s/files/1/0999/6052/1075/files/yara-candy-100-ml.jpg","1","Yara Candy 100 ML"
"yara-tous-100-ml","Yara Tous 100 ML","https://cdn.shopify.com/s/files/1/0999/6052/1075/files/yara-tous-100-ml.jpg","1","Yara Tous 100 ML"
"yara-moi-100-ml","Yara Moi 100 ML","https://cdn.shopify.com/s/files/1/0999/6052/1075/files/yara-moi-100-ml.jpg","1","Yara Moi 100 ML"
"asad-bourbon-100-ml","Asad Bourbon 100 ML","https://cdn.shopify.com/s/files/1/0999/6052/1075/files/asad-bourbon-100-ml.jpg","1","Asad Bourbon 100 ML"
"asad-zanzibar-100-ml","Asad Zanzibar 100 ML","https://cdn.shopify.com/s/files/1/0999/6052/1075/files/asad-zanzibar-100-ml.jpg","1","Asad Zanzibar 100 ML"
"asad-lattafa-elixir-100-ml","Asad Lattafa Elixir 100 ML","https://cdn.shopify.com/s/files/1/0999/6052/1075/files/asad-lattafa-elixir-100-ml.jpg","1","Asad Lattafa Elixir 100 ML"
"oud-for-glory-caja-100-ml","Oud For Glory Caja 100 ML","https://cdn.shopify.com/s/files/1/0999/6052/1075/files/oud-for-glory-caja-100-ml.jpg","1","Oud For Glory Caja 100 ML"
"lattafa-amethyst-cofre-100-ml","Lattafa Amethyst Cofre 100 ML","https://cdn.shopify.com/s/files/1/0999/6052/1075/files/lattafa-amethyst-cofre-100-ml.jpg","1","Lattafa Amethyst Cofre 100 ML"
"lattafa-amethyst-caja-100-ml","Lattafa Amethyst Caja 100 ML","https://cdn.shopify.com/s/files/1/0999/6052/1075/files/lattafa-amethyst-caja-100-ml.jpg","1","Lattafa Amethyst Caja 100 ML"
"lattafa-sublime-cofre-100-ml","Lattafa Sublime Cofre 100 ML","https://cdn.shopify.com/s/files/1/0999/6052/1075/files/lattafa-sublime-cofre-100-ml.jpg","1","Lattafa Sublime Cofre 100 ML"
"lattafa-sublime-caja-100-ml","Lattafa Sublime Caja 100 ML","https://cdn.shopify.com/s/files/1/0999/6052/1075/files/lattafa-sublime-caja-100-ml.jpg","1","Lattafa Sublime Caja 100 ML"
"honor-y-glory-cofre-100-ml","Honor & Glory Cofre 100 ML","https://cdn.shopify.com/s/files/1/0999/6052/1075/files/honor-y-glory-cofre-100-ml.jpg","1","Honor & Glory Cofre 100 ML"
"honor-y-glory-caja-100-ml","Honor & Glory Caja 100 ML","https://cdn.shopify.com/s/files/1/0999/6052/1075/files/honor-y-glory-caja-100-ml.jpg","1","Honor & Glory Caja 100 ML"
"noble-blush-cofre-100-ml","Noble Blush Cofre 100 ML","https://cdn.shopify.com/s/files/1/0999/6052/1075/files/noble-blush-cofre-100-ml.jpg","1","Noble Blush Cofre 100 ML"
"ajwad-lattafa-100-ml","Ajwad Lattafa 100 ML","https://cdn.shopify.com/s/files/1/0999/6052/1075/files/ajwad-lattafa-100-ml.jpg","1","Ajwad Lattafa 100 ML"
"fakhar-rose-100-ml","Fakhár Rose 100 ML","https://cdn.shopify.com/s/files/1/0999/6052/1075/files/fakhar-rose-100-ml.jpg","1","Fakhár Rose 100 ML"
"fakhar-gold-extrait-100-ml","Fakhár Gold Extrait 100 ML","https://cdn.shopify.com/s/files/1/0999/6052/1075/files/fakhar-gold-extrait-100-ml.jpg","1","Fakhár Gold Extrait 100 ML"
"shaheen-gold-100-ml","Shaheen Gold 100 ML","https://cdn.shopify.com/s/files/1/0999/6052/1075/files/shaheen-gold-100-ml.jpg","1","Shaheen Gold 100 ML"
"shaheen-silver-100-ml","Shaheen Silver 100 ML","https://cdn.shopify.com/s/files/1/0999/6052/1075/files/shaheen-silver-100-ml.jpg","1","Shaheen Silver 100 ML"
"marshmallow-blush-paris-corner-100-ml","Marshmallow Blush Paris Corner 100 ML","https://cdn.shopify.com/s/files/1/0999/6052/1075/files/marshmallow-blush-paris-corner-100-ml.jpg","1","Marshmallow Blush Paris Corner 100 ML"
"liquid-burn-cofre-100-ml","Liquid Burn Cofre 100 ML","https://cdn.shopify.com/s/files/1/0999/6052/1075/files/liquid-burn-cofre-100-ml.jpg","1","Liquid Burn Cofre 100 ML"
"vulcan-feu-100-ml","Vulcan Feu 100 ML","https://cdn.shopify.com/s/files/1/0999/6052/1075/files/vulcan-feu-100-ml.jpg","1","Vulcan Feu 100 ML"
"vulcan-baie-100-ml","Vulcan Baie 100 ML","https://cdn.shopify.com/s/files/1/0999/6052/1075/files/vulcan-baie-100-ml.jpg","1","Vulcan Baie 100 ML"
"vulcan-sable-100-ml","Vulcan Sable 100 ML","https://cdn.shopify.com/s/files/1/0999/6052/1075/files/vulcan-sable-100-ml.jpg","1","Vulcan Sable 100 ML"
"amber-oud-gold-edition-cofre-100-ml","Amber Oud Gold Edition Cofre 100 ML","https://cdn.shopify.com/s/files/1/0999/6052/1075/files/amber-oud-gold-edition-cofre-100-ml.jpg","1","Amber Oud Gold Edition Cofre 100 ML"
"island-breeze-armaf-100-ml","Island Breeze Armaf 100 ML","https://cdn.shopify.com/s/files/1/0999/6052/1075/files/island-breeze-armaf-100-ml.jpg","1","Island Breeze Armaf 100 ML"
"valentino-intense-100-ml","Valentino Intense 100 ML","https://cdn.shopify.com/s/files/1/0999/6052/1075/files/valentino-intense-100-ml.jpg","1","Valentino Intense 100 ML"
"valentino-born-in-roma-100-ml","Valentino Born in Roma 100 ML","https://cdn.shopify.com/s/files/1/0999/6052/1075/files/valentino-born-in-roma-100-ml.jpg","1","Valentino Born in Roma 100 ML"
"nitro-red-by-dumont-100-ml","Nitro Red by Dumont 100 ML","https://cdn.shopify.com/s/files/1/0999/6052/1075/files/nitro-red-by-dumont-100-ml.jpg","1","Nitro Red by Dumont 100 ML"
"stronger-intensely-100-ml","Stronger Intensely 100 ML","https://cdn.shopify.com/s/files/1/0999/6052/1075/files/stronger-intensely-100-ml.jpg","1","Stronger Intensely 100 ML"
"scandal-parfum-men-100-ml","Scandal Parfum Men 100 ML","https://cdn.shopify.com/s/files/1/0999/6052/1075/files/scandal-parfum-men-100-ml.jpg","1","Scandal Parfum Men 100 ML"
"scandal-men-jp-100-ml","Scandal Men JP 100 ML","https://cdn.shopify.com/s/files/1/0999/6052/1075/files/scandal-men-jp-100-ml.jpg","1","Scandal Men JP 100 ML"
"scandal-absolu-100-ml","Scandal Absolu 100 ML","https://cdn.shopify.com/s/files/1/0999/6052/1075/files/scandal-absolu-100-ml.jpg","1","Scandal Absolu 100 ML"
"le-male-le-parfum-120-ml","Le Male Le Parfum 120 ML","https://cdn.shopify.com/s/files/1/0999/6052/1075/files/le-male-le-parfum-120-ml.jpg","1","Le Male Le Parfum 120 ML"
