"Handle","Title","Body (HTML)","Vendor","Type","Tags","Published","Option1 Name","Option1 Value","Variant Inventory Tracker","Variant Inventory Qty","Variant Inventory Policy","Variant Fulfillment Service","Variant Price","Variant Compare At Price","Variant Requires Shipping","Variant Taxable","Image Src","Image Position","Image Alt Text","Status"
"khamrah-lattafa","Khamrah Lattafa 100 ML","<p>Un brindis oriental de dátiles, canela y vainilla. Khamrah envuelve la piel con una estela cálida, dulce y especiada que perdura por horas.</p>","Lattafa","Perfume Árabe","arabe, lattafa, caja, bestseller, gourmand, unisex","TRUE","Title","Default Title","shopify","7","deny","manual","124000.00","155000.00","TRUE","TRUE","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Lattafa","1","Khamrah Lattafa 100 ML","active"
"yara-lattafa","Yara Lattafa 100 ML","<p>Cremoso, dulce y luminoso. Yara combina orquídea y heliotropo sobre una base de sándalo y vainilla para un rastro adictivo y femenino.</p>","Lattafa","Perfume Árabe","arabe, lattafa, caja, bestseller, floral, dama","TRUE","Title","Default Title","shopify","6","deny","manual","124000.00","155000.00","TRUE","TRUE","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Lattafa","1","Yara Lattafa 100 ML","active"
"asad-lattafa","Asad Lattafa 100 ML","<p>Potente y magnético. Asad abre con pimienta y piña para asentarse en un fondo de vainilla, ámbar y pachulí de gran proyección.</p>","Lattafa","Perfume Árabe","arabe, lattafa, caja, amaderado, caballero","TRUE","Title","Default Title","shopify","4","deny","manual","124000.00","","TRUE","TRUE","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Lattafa","1","Asad Lattafa 100 ML","active"
"oud-for-glory-cofre","Oud For Glory Cofre 100 ML","<p>Una oda al oud. Azafrán y nuez moscada dan paso a maderas resinosas y pachulí en un cofre de lujo de altísima duración.</p>","Lattafa","Perfume Árabe","arabe, lattafa, cofre, oud, amaderado, unisex","TRUE","Title","Default Title","shopify","10","deny","manual","184000.00","230000.00","TRUE","TRUE","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Lattafa","1","Oud For Glory Cofre 100 ML","active"
"erba-pura-caja","Erba Pura en Caja 100 ML","<p>Explosión frutal sobre un fondo dulce y ambarado. Erba Pura es alegre, jugosa y sorprendentemente versátil para cualquier ocasión.</p>","Xerjoff","Perfume Árabe","arabe, xerjoff, caja, frutal, unisex, gourmand","TRUE","Title","Default Title","shopify","4","deny","manual","126000.00","","TRUE","TRUE","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Xerjoff","1","Erba Pura en Caja 100 ML","active"
"mayar-lattafa","Mayar Lattafa 100 ML","<p>Elegancia floral con un guiño frutal. Jazmín y azahar arropados por vainilla y cachemira para una firma sofisticada y delicada.</p>","Lattafa","Perfume Árabe","arabe, lattafa, caja, floral, dama","TRUE","Title","Default Title","shopify","13","deny","manual","166000.00","","TRUE","TRUE","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Lattafa","1","Mayar Lattafa 100 ML","active"
"fakhar-black","Fakhár Black 100 ML","<p>Frescura aromática y fondo amaderado. Fakhár Black es la versatilidad hecha perfume: oficina de día, seducción de noche.</p>","Lattafa","Perfume Árabe","arabe, lattafa, caja, amaderado, aromatico, caballero","TRUE","Title","Default Title","shopify","6","deny","manual","190000.00","238000.00","TRUE","TRUE","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Lattafa","1","Fakhár Black 100 ML","active"
"eclaire-lattafa","Eclaire Lattafa 100 ML","<p>Un postre embotellado. Caramelo, praliné y vainilla cremosa para quienes aman las fragancias dulces y golosas.</p>","Lattafa","Perfume Árabe","arabe, lattafa, caja, gourmand, dulce, dama","TRUE","Title","Default Title","shopify","11","deny","manual","170000.00","213000.00","TRUE","TRUE","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Lattafa","1","Eclaire Lattafa 100 ML","active"
"sauvage-dior","Sauvage Dior 100 ML","<p>Frescura radiante y especiada. Bergamota crujiente, pimienta de Sichuan y un fondo de ambroxan que proyecta sin esfuerzo.</p>","Dior","Perfume Masculino","masculino, dior, fresco, especiado, bestseller, caballero, caja","TRUE","Title","Default Title","shopify","5","deny","manual","126000.00","158000.00","TRUE","TRUE","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Dior","1","Sauvage Dior 100 ML","active"
"one-million","One Million 100 ML","<p>Opulento y seductor. Toronja y menta brillantes sobre canela, cuero y ámbar para una presencia inolvidable.</p>","Paco Rabanne","Perfume Masculino","masculino, paco-rabanne, especiado, cuero, caballero, caja","TRUE","Title","Default Title","shopify","6","deny","manual","116000.00","","TRUE","TRUE","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Paco%20Rabanne","1","One Million 100 ML","active"
"invictus","Invictus 100 ML","<p>Frescura deportiva y victoriosa. Notas marinas y pomelo sobre una base ambarada de guayaco para el día a día.</p>","Paco Rabanne","Perfume Masculino","masculino, paco-rabanne, acuatico, fresco, caballero, caja","TRUE","Title","Default Title","shopify","13","deny","manual","116000.00","","TRUE","TRUE","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Paco%20Rabanne","1","Invictus 100 ML","active"
"le-male-elixir","Le Male Elixir 120 ML","<p>La versión más adictiva del clásico. Lavanda y miel sobre haba tonka y benjuí: dulce, cálido y de proyección bestial.</p>","Jean Paul Gaultier","Perfume Masculino","masculino, jean-paul-gaultier, oriental, gourmand, caballero, caja","TRUE","Title","Default Title","shopify","11","deny","manual","146000.00","183000.00","TRUE","TRUE","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Jean%20Paul%20Gaultier","1","Le Male Elixir 120 ML","active"
"stronger-with-you","Stronger With You 100 ML","<p>Cálido y carismático. Cardamomo y salvia sobre castañas glaseadas, vainilla y ámbar para un rastro acogedor y moderno.</p>","Emporio Armani","Perfume Masculino","masculino, armani, especiado, gourmand, caballero, caja","TRUE","Title","Default Title","shopify","6","deny","manual","126000.00","","TRUE","TRUE","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Emporio%20Armani","1","Stronger With You 100 ML","active"
"valentino-uomo","Valentino Uomo 100 ML","<p>Elegancia italiana. Crema de avellana y café sobre cuero y cedro para un caballero refinado y contemporáneo.</p>","Valentino","Perfume Masculino","masculino, valentino, amaderado, gourmand, caballero, caja","TRUE","Title","Default Title","shopify","13","deny","manual","130000.00","163000.00","TRUE","TRUE","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Valentino","1","Valentino Uomo 100 ML","active"
"fahrenheit-dior","Fahrenheit Dior 100 ML","<p>Un ícono inconfundible. Violeta y madreselva sobre cuero y almizcle: distintivo, viril y atemporal.</p>","Dior","Perfume Masculino","masculino, dior, amaderado, cuero, caballero, caja","TRUE","Title","Default Title","shopify","11","deny","manual","116000.00","","TRUE","TRUE","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Dior","1","Fahrenheit Dior 100 ML","active"
"good-girl","Good Girl 80 ML","<p>Dualidad seductora. Jazmín y nardo luminosos sobre un fondo de cacao, tonka y praliné. El equilibrio perfecto entre lo dulce y lo oscuro.</p>","Carolina Herrera","Perfume Femenino","femenino, carolina-herrera, oriental, bestseller, dama, caja","TRUE","Title","Default Title","shopify","15","deny","manual","116000.00","145000.00","TRUE","TRUE","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Carolina%20Herrera","1","Good Girl 80 ML","active"
"212-vip-rose","212 VIP Rosé 80 ML","<p>Burbujeante y festivo. Champagne rosado y durazno sobre flores blancas y almizcle para noches que brillan.</p>","Carolina Herrera","Perfume Femenino","femenino, carolina-herrera, floral, frutal, dama, caja","TRUE","Title","Default Title","shopify","8","deny","manual","116000.00","","TRUE","TRUE","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Carolina%20Herrera","1","212 VIP Rosé 80 ML","active"
"bombshell","Bombshell 100 ML","<p>Coqueto y fresco. Pomelo y piña sobre peonía y orquídea: vibrante, juvenil e irresistible.</p>","Victoria's Secret","Perfume Femenino","femenino, victorias-secret, floral, frutal, dama, caja","TRUE","Title","Default Title","shopify","4","deny","manual","116000.00","","TRUE","TRUE","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Victoria's%20Secret","1","Bombshell 100 ML","active"
"ch-woman","CH Woman 100 ML","<p>Sofisticación con carácter. Praliné y rosa sobre cuero, sándalo y ámbar para una mujer segura de sí misma.</p>","Carolina Herrera","Perfume Femenino","femenino, carolina-herrera, oriental, cuero, dama, caja","TRUE","Title","Default Title","shopify","11","deny","manual","126000.00","","TRUE","TRUE","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Carolina%20Herrera","1","CH Woman 100 ML","active"
"cloud-ariana-grande","Cloud Ariana Grande 100 ML","<p>Suave como una nube. Pera y lavanda sobre crema batida, praliné y coco. Reconfortante, dulce y muy duradero.</p>","Ariana Grande","Perfume Femenino","femenino, ariana-grande, gourmand, dulce, dama, caja","TRUE","Title","Default Title","shopify","12","deny","manual","126000.00","158000.00","TRUE","TRUE","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Ariana%20Grande","1","Cloud Ariana Grande 100 ML","active"
"love-me-tous","Love Me Tous 90 ML","<p>Delicado y romántico. Frutos rojos y flor de cerezo sobre almizcle suave para un uso diario fresco y femenino.</p>","Tous","Perfume Femenino","femenino, tous, floral, frutal, dama, caja","TRUE","Title","Default Title","shopify","8","deny","manual","126000.00","158000.00","TRUE","TRUE","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Tous","1","Love Me Tous 90 ML","active"
"good-girl-blush","Good Girl Blush 80 ML","<p>Luminoso y optimista. Un ramo de rosa y peonía sobre sándalo cremoso y vainilla: la cara más radiante de Good Girl.</p>","Carolina Herrera","Perfume Femenino","femenino, carolina-herrera, floral, dama, caja","TRUE","Title","Default Title","shopify","5","deny","manual","130000.00","163000.00","TRUE","TRUE","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Carolina%20Herrera","1","Good Girl Blush 80 ML","active"
"orientica-royal-amber-body-spray","Orientica Royal Amber Body Spray 200 ML","<p>Frescura ambarada y oriental para todo el día. Formato generoso de 200 ml ideal para reaplicar cuando quieras.</p>","Orientica","Body Spray","body-spray, orientica, oriental, unisex, spray","TRUE","Title","Default Title","shopify","8","deny","manual","62000.00","","TRUE","TRUE","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Orientica","1","Orientica Royal Amber Body Spray 200 ML","active"
"club-de-nuit-intense-body-spray","Club de Nuit Intense Man Body Spray 200 ML","<p>El icónico Club de Nuit en formato body spray. Piña y abedul sobre vainilla y almizcle: fresco, masculino y rendidor.</p>","Armaf","Body Spray","body-spray, armaf, amaderado, caballero, spray","TRUE","Title","Default Title","shopify","8","deny","manual","62000.00","","TRUE","TRUE","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Armaf","1","Club de Nuit Intense Man Body Spray 200 ML","active"
"yara-body-spray","Yara Body Spray 200 ML","<p>La estela cremosa de Yara en spray corporal. Orquídea y vainilla suaves para refrescar tu día con un toque dulce.</p>","Lattafa","Body Spray","body-spray, lattafa, floral, dama, spray","TRUE","Title","Default Title","shopify","7","deny","manual","58000.00","","TRUE","TRUE","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Lattafa","1","Yara Body Spray 200 ML","active"
"set-mini-khamrah-30ml","Set Mini Khamrah 30 ML (Dukhan + Qawha + Khamrah)","<p>El trío más codiciado de Lattafa en formato viaje: Khamrah, Khamrah Qawha y Khamrah Dukhan. El regalo perfecto para los amantes de lo dulce y especiado.</p>","Lattafa","Set de Regalo","set, lattafa, regalo, gourmand, bestseller, unisex","TRUE","Title","Default Title","shopify","7","deny","manual","190000.00","238000.00","TRUE","TRUE","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Lattafa","1","Set Mini Khamrah 30 ML (Dukhan + Qawha + Khamrah)","active"
"set-mini-yara-30ml-x4","Set Mini Yara 30 ML x4 (todas dama)","<p>Cuatro versiones de Yara en formato mini: descubre tu favorita o regálalas todas. Cremosas, dulces y femeninas.</p>","Lattafa","Set de Regalo","set, lattafa, regalo, floral, dama","TRUE","Title","Default Title","shopify","11","deny","manual","170000.00","","TRUE","TRUE","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Lattafa","1","Set Mini Yara 30 ML x4 (todas dama)","active"
"set-bolso-crema-perfume-yara","Set Bolso + Crema + Perfume 60 ML + Yara","<p>Un kit de lujo listo para regalar: bolso, crema corporal y perfume Yara de 60 ml. Presentación impecable y experiencia completa.</p>","Lattafa","Set de Regalo","set, lattafa, regalo, premium, floral, dama","TRUE","Title","Default Title","shopify","9","deny","manual","210000.00","263000.00","TRUE","TRUE","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Lattafa","1","Set Bolso + Crema + Perfume 60 ML + Yara","active"
"erba-pura-en-cofre-100-ml","Erba Pura en Cofre 100 ML","<p>Erba Pura en Cofre 100 ML: una fragancia gourmand de Xerjoff. Estela distintiva y gran calidad a un precio justo, con envío a toda Colombia.</p>","Xerjoff","Perfume Árabe","arabe, unisex, cofre, gourmand, xerjoff","TRUE","Title","Default Title","shopify","10","deny","manual","190000.00","238000.00","TRUE","TRUE","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Xerjoff","1","Erba Pura en Cofre 100 ML","active"
"erba-pura-tipo-original-cofre-100-ml","Erba Pura Tipo Original Cofre 100 ML","<p>Erba Pura Tipo Original Cofre 100 ML: una fragancia gourmand de Xerjoff. Estela distintiva y gran calidad a un precio justo, con envío a toda Colombia.</p>","Xerjoff","Perfume Árabe","arabe, unisex, cofre, gourmand, xerjoff","TRUE","Title","Default Title","shopify","11","deny","manual","240000.00","","TRUE","TRUE","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Xerjoff","1","Erba Pura Tipo Original Cofre 100 ML","active"
"xerjoff-alexandria-ii-100-ml","Xerjoff Alexandria II 100 ML","<p>Xerjoff Alexandria II 100 ML: una fragancia amaderada de Xerjoff. Estela distintiva y gran calidad a un precio justo, con envío a toda Colombia.</p>","Xerjoff","Perfume Árabe","arabe, caballero, caja, amaderado, xerjoff","TRUE","Title","Default Title","shopify","15","deny","manual","176000.00","","TRUE","TRUE","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Xerjoff","1","Xerjoff Alexandria II 100 ML","active"
"afeef-lattafa-100-ml","Afeef Lattafa 100 ML","<p>Afeef Lattafa 100 ML: una fragancia oriental de Lattafa. Estela distintiva y gran calidad a un precio justo, con envío a toda Colombia.</p>","Lattafa","Perfume Árabe","arabe, unisex, caja, oriental, lattafa","TRUE","Title","Default Title","shopify","3","deny","manual","190000.00","","TRUE","TRUE","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Lattafa","1","Afeef Lattafa 100 ML","active"
"berry-on-top-100-ml","Berry On Top 100 ML","<p>Berry On Top 100 ML: una fragancia gourmand de Al Wataniah. Estela distintiva y gran calidad a un precio justo, con envío a toda Colombia.</p>","Al Wataniah","Perfume Árabe","arabe, dama, caja, gourmand, al-wataniah","TRUE","Title","Default Title","shopify","10","deny","manual","190000.00","","TRUE","TRUE","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Al%20Wataniah","1","Berry On Top 100 ML","active"
"mallow-madness-100-ml","Mallow Madness 100 ML","<p>Mallow Madness 100 ML: una fragancia gourmand de Lattafa. Estela distintiva y gran calidad a un precio justo, con envío a toda Colombia.</p>","Lattafa","Perfume Árabe","arabe, dama, caja, gourmand, lattafa","TRUE","Title","Default Title","shopify","3","deny","manual","190000.00","238000.00","TRUE","TRUE","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Lattafa","1","Mallow Madness 100 ML","active"
"vanilla-freak-100-ml","Vanilla Freak 100 ML","<p>Vanilla Freak 100 ML: una fragancia gourmand de Lattafa. Estela distintiva y gran calidad a un precio justo, con envío a toda Colombia.</p>","Lattafa","Perfume Árabe","arabe, unisex, caja, gourmand, lattafa","TRUE","Title","Default Title","shopify","10","deny","manual","190000.00","238000.00","TRUE","TRUE","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Lattafa","1","Vanilla Freak 100 ML","active"
"whipped-pleasure-100-ml","Whipped Pleasure 100 ML","<p>Whipped Pleasure 100 ML: una fragancia gourmand de Lattafa. Estela distintiva y gran calidad a un precio justo, con envío a toda Colombia.</p>","Lattafa","Perfume Árabe","arabe, dama, caja, gourmand, lattafa","TRUE","Title","Default Title","shopify","13","deny","manual","190000.00","","TRUE","TRUE","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Lattafa","1","Whipped Pleasure 100 ML","active"
"choco-overdose-100-ml","Choco Overdose 100 ML","<p>Choco Overdose 100 ML: una fragancia gourmand de Lattafa. Estela distintiva y gran calidad a un precio justo, con envío a toda Colombia.</p>","Lattafa","Perfume Árabe","arabe, unisex, caja, gourmand, lattafa","TRUE","Title","Default Title","shopify","7","deny","manual","190000.00","238000.00","TRUE","TRUE","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Lattafa","1","Choco Overdose 100 ML","active"
"cookie-crave-100-ml","Cookie Crave 100 ML","<p>Cookie Crave 100 ML: una fragancia gourmand de Lattafa. Estela distintiva y gran calidad a un precio justo, con envío a toda Colombia.</p>","Lattafa","Perfume Árabe","arabe, dama, caja, gourmand, lattafa","TRUE","Title","Default Title","shopify","8","deny","manual","190000.00","238000.00","TRUE","TRUE","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Lattafa","1","Cookie Crave 100 ML","active"
"arte-del-universo-100-ml","Arte del Universo 100 ML","<p>Arte del Universo 100 ML: una fragancia oriental de Maison Alhambra. Estela distintiva y gran calidad a un precio justo, con envío a toda Colombia.</p>","Maison Alhambra","Perfume Árabe","arabe, unisex, caja, oriental, maison-alhambra","TRUE","Title","Default Title","shopify","12","deny","manual","190000.00","","TRUE","TRUE","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Maison%20Alhambra","1","Arte del Universo 100 ML","active"
"haya-lattafa-cofre-100-ml","Haya Lattafa Cofre 100 ML","<p>Haya Lattafa Cofre 100 ML: una fragancia floral de Lattafa. Estela distintiva y gran calidad a un precio justo, con envío a toda Colombia.</p>","Lattafa","Perfume Árabe","arabe, dama, cofre, floral, lattafa","TRUE","Title","Default Title","shopify","8","deny","manual","184000.00","","TRUE","TRUE","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Lattafa","1","Haya Lattafa Cofre 100 ML","active"
"haya-lattafa-caja-100-ml","Haya Lattafa Caja 100 ML","<p>Haya Lattafa Caja 100 ML: una fragancia floral de Lattafa. Estela distintiva y gran calidad a un precio justo, con envío a toda Colombia.</p>","Lattafa","Perfume Árabe","arabe, dama, caja, floral, lattafa","TRUE","Title","Default Title","shopify","4","deny","manual","146000.00","183000.00","TRUE","TRUE","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Lattafa","1","Haya Lattafa Caja 100 ML","active"
"emaan-lattafa-100-ml","Emaan Lattafa 100 ML","<p>Emaan Lattafa 100 ML: una fragancia oriental de Lattafa. Estela distintiva y gran calidad a un precio justo, con envío a toda Colombia.</p>","Lattafa","Perfume Árabe","arabe, unisex, caja, oriental, lattafa","TRUE","Title","Default Title","shopify","10","deny","manual","190000.00","238000.00","TRUE","TRUE","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Lattafa","1","Emaan Lattafa 100 ML","active"
"sakina-lattafa-100-ml","Sakina Lattafa 100 ML","<p>Sakina Lattafa 100 ML: una fragancia floral de Lattafa. Estela distintiva y gran calidad a un precio justo, con envío a toda Colombia.</p>","Lattafa","Perfume Árabe","arabe, dama, caja, floral, lattafa","TRUE","Title","Default Title","shopify","11","deny","manual","190000.00","","TRUE","TRUE","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Lattafa","1","Sakina Lattafa 100 ML","active"
"victoria-by-lattafa-100-ml","Victoria by Lattafa 100 ML","<p>Victoria by Lattafa 100 ML: una fragancia floral de Lattafa. Estela distintiva y gran calidad a un precio justo, con envío a toda Colombia.</p>","Lattafa","Perfume Árabe","arabe, dama, caja, floral, lattafa","TRUE","Title","Default Title","shopify","15","deny","manual","160000.00","","TRUE","TRUE","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Lattafa","1","Victoria by Lattafa 100 ML","active"
"his-confession-men-100-ml","His Confession Men 100 ML","<p>His Confession Men 100 ML: una fragancia amaderada de Lattafa. Estela distintiva y gran calidad a un precio justo, con envío a toda Colombia.</p>","Lattafa","Perfume Árabe","arabe, caballero, caja, amaderado, lattafa","TRUE","Title","Default Title","shopify","6","deny","manual","180000.00","225000.00","TRUE","TRUE","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Lattafa","1","His Confession Men 100 ML","active"
"her-confession-dama-100-ml","Her Confession Dama 100 ML","<p>Her Confession Dama 100 ML: una fragancia floral de Lattafa. Estela distintiva y gran calidad a un precio justo, con envío a toda Colombia.</p>","Lattafa","Perfume Árabe","arabe, dama, caja, floral, lattafa","TRUE","Title","Default Title","shopify","7","deny","manual","180000.00","","TRUE","TRUE","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Lattafa","1","Her Confession Dama 100 ML","active"
