"Handle","Title","Body (HTML)","Vendor","Type","Tags","Published","Option1 Name","Option1 Value","Variant Inventory Tracker","Variant Inventory Qty","Variant Inventory Policy","Variant Fulfillment Service","Variant Price","Variant Compare At Price","Variant Requires Shipping","Variant Taxable","Image Src","Image Position","Image Alt Text","Status"
"khamrah-lattafa-cofre-100-ml","Khamrah Lattafa Cofre 100 ML","<p>Khamrah Lattafa Cofre 100 ML: una fragancia gourmand de Lattafa. Estela distintiva y gran calidad a un precio justo, con envío a toda Colombia.</p>","Lattafa","Perfume Árabe","arabe, unisex, cofre, gourmand, lattafa","TRUE","Title","Default Title","shopify","13","deny","manual","184000.00","230000.00","TRUE","TRUE","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Lattafa","1","Khamrah Lattafa Cofre 100 ML","active"
"khamrah-qawha-cofre-100-ml","Khamrah Qawha Cofre 100 ML","<p>Khamrah Qawha Cofre 100 ML: una fragancia gourmand de Lattafa. Estela distintiva y gran calidad a un precio justo, con envío a toda Colombia.</p>","Lattafa","Perfume Árabe","arabe, unisex, cofre, gourmand, lattafa","TRUE","Title","Default Title","shopify","14","deny","manual","184000.00","","TRUE","TRUE","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Lattafa","1","Khamrah Qawha Cofre 100 ML","active"
"khamrah-qawha-caja-100-ml","Khamrah Qawha Caja 100 ML","<p>Khamrah Qawha Caja 100 ML: una fragancia gourmand de Lattafa. Estela distintiva y gran calidad a un precio justo, con envío a toda Colombia.</p>","Lattafa","Perfume Árabe","arabe, unisex, caja, gourmand, lattafa","TRUE","Title","Default Title","shopify","8","deny","manual","124000.00","155000.00","TRUE","TRUE","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Lattafa","1","Khamrah Qawha Caja 100 ML","active"
"khamrah-dukhan-cofre-100-ml","Khamrah Dukhan Cofre 100 ML","<p>Khamrah Dukhan Cofre 100 ML: una fragancia oriental de Lattafa. Estela distintiva y gran calidad a un precio justo, con envío a toda Colombia.</p>","Lattafa","Perfume Árabe","arabe, unisex, cofre, oriental, lattafa","TRUE","Title","Default Title","shopify","9","deny","manual","184000.00","230000.00","TRUE","TRUE","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Lattafa","1","Khamrah Dukhan Cofre 100 ML","active"
"khamrah-dukhan-caja-100-ml","Khamrah Dukhan Caja 100 ML","<p>Khamrah Dukhan Caja 100 ML: una fragancia oriental de Lattafa. Estela distintiva y gran calidad a un precio justo, con envío a toda Colombia.</p>","Lattafa","Perfume Árabe","arabe, unisex, caja, oriental, lattafa","TRUE","Title","Default Title","shopify","14","deny","manual","124000.00","155000.00","TRUE","TRUE","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Lattafa","1","Khamrah Dukhan Caja 100 ML","active"
"musaman-black-intense-100-ml","Musaman Black Intense 100 ML","<p>Musaman Black Intense 100 ML: una fragancia oriental de Lattafa. Estela distintiva y gran calidad a un precio justo, con envío a toda Colombia.</p>","Lattafa","Perfume Árabe","arabe, caballero, caja, oriental, lattafa","TRUE","Title","Default Title","shopify","9","deny","manual","190000.00","","TRUE","TRUE","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Lattafa","1","Musaman Black Intense 100 ML","active"
"musaman-white-intense-100-ml","Musaman White Intense 100 ML","<p>Musaman White Intense 100 ML: una fragancia amaderada de Lattafa. Estela distintiva y gran calidad a un precio justo, con envío a toda Colombia.</p>","Lattafa","Perfume Árabe","arabe, caballero, caja, amaderado, lattafa","TRUE","Title","Default Title","shopify","9","deny","manual","190000.00","","TRUE","TRUE","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Lattafa","1","Musaman White Intense 100 ML","active"
"musaman-100-ml","Musaman 100 ML","<p>Musaman 100 ML: una fragancia oriental de Lattafa. Estela distintiva y gran calidad a un precio justo, con envío a toda Colombia.</p>","Lattafa","Perfume Árabe","arabe, caballero, caja, oriental, lattafa","TRUE","Title","Default Title","shopify","8","deny","manual","190000.00","","TRUE","TRUE","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Lattafa","1","Musaman 100 ML","active"
"now-woman-lattafa-100-ml","Now Woman Lattafa 100 ML","<p>Now Woman Lattafa 100 ML: una fragancia floral de Lattafa. Estela distintiva y gran calidad a un precio justo, con envío a toda Colombia.</p>","Lattafa","Perfume Árabe","arabe, dama, caja, floral, lattafa","TRUE","Title","Default Title","shopify","4","deny","manual","130000.00","","TRUE","TRUE","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Lattafa","1","Now Woman Lattafa 100 ML","active"
"teriaq-lattafa-100-ml","Teriaq Lattafa 100 ML","<p>Teriaq Lattafa 100 ML: una fragancia gourmand de Lattafa. Estela distintiva y gran calidad a un precio justo, con envío a toda Colombia.</p>","Lattafa","Perfume Árabe","arabe, unisex, caja, gourmand, lattafa","TRUE","Title","Default Title","shopify","9","deny","manual","136000.00","","TRUE","TRUE","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Lattafa","1","Teriaq Lattafa 100 ML","active"
"eclaire-pistache-100-ml","Eclaire Pistache 100 ML","<p>Eclaire Pistache 100 ML: una fragancia gourmand de Lattafa. Estela distintiva y gran calidad a un precio justo, con envío a toda Colombia.</p>","Lattafa","Perfume Árabe","arabe, dama, caja, gourmand, lattafa","TRUE","Title","Default Title","shopify","12","deny","manual","190000.00","","TRUE","TRUE","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Lattafa","1","Eclaire Pistache 100 ML","active"
"eclaire-bananofi-100-ml","Eclaire Bananofi 100 ML","<p>Eclaire Bananofi 100 ML: una fragancia gourmand de Lattafa. Estela distintiva y gran calidad a un precio justo, con envío a toda Colombia.</p>","Lattafa","Perfume Árabe","arabe, dama, caja, gourmand, lattafa","TRUE","Title","Default Title","shopify","6","deny","manual","190000.00","238000.00","TRUE","TRUE","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Lattafa","1","Eclaire Bananofi 100 ML","active"
"mayar-cherry-intense-100-ml","Mayar Cherry Intense 100 ML","<p>Mayar Cherry Intense 100 ML: una fragancia floral de Lattafa. Estela distintiva y gran calidad a un precio justo, con envío a toda Colombia.</p>","Lattafa","Perfume Árabe","arabe, dama, caja, floral, lattafa","TRUE","Title","Default Title","shopify","11","deny","manual","170000.00","","TRUE","TRUE","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Lattafa","1","Mayar Cherry Intense 100 ML","active"
"mayar-natural-intense-100-ml","Mayar Natural Intense 100 ML","<p>Mayar Natural Intense 100 ML: una fragancia floral de Lattafa. Estela distintiva y gran calidad a un precio justo, con envío a toda Colombia.</p>","Lattafa","Perfume Árabe","arabe, dama, caja, floral, lattafa","TRUE","Title","Default Title","shopify","6","deny","manual","166000.00","208000.00","TRUE","TRUE","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Lattafa","1","Mayar Natural Intense 100 ML","active"
"yara-lattafa-elixir-100-ml","Yara Lattafa Elixir 100 ML","<p>Yara Lattafa Elixir 100 ML: una fragancia floral de Lattafa. Estela distintiva y gran calidad a un precio justo, con envío a toda Colombia.</p>","Lattafa","Perfume Árabe","arabe, dama, caja, floral, lattafa","TRUE","Title","Default Title","shopify","8","deny","manual","130000.00","","TRUE","TRUE","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Lattafa","1","Yara Lattafa Elixir 100 ML","active"
"yara-candy-100-ml","Yara Candy 100 ML","<p>Yara Candy 100 ML: una fragancia gourmand de Lattafa. Estela distintiva y gran calidad a un precio justo, con envío a toda Colombia.</p>","Lattafa","Perfume Árabe","arabe, dama, caja, gourmand, lattafa","TRUE","Title","Default Title","shopify","6","deny","manual","124000.00","","TRUE","TRUE","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Lattafa","1","Yara Candy 100 ML","active"
"yara-tous-100-ml","Yara Tous 100 ML","<p>Yara Tous 100 ML: una fragancia floral de Lattafa. Estela distintiva y gran calidad a un precio justo, con envío a toda Colombia.</p>","Lattafa","Perfume Árabe","arabe, dama, caja, floral, lattafa","TRUE","Title","Default Title","shopify","3","deny","manual","124000.00","","TRUE","TRUE","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Lattafa","1","Yara Tous 100 ML","active"
"yara-moi-100-ml","Yara Moi 100 ML","<p>Yara Moi 100 ML: una fragancia floral de Lattafa. Estela distintiva y gran calidad a un precio justo, con envío a toda Colombia.</p>","Lattafa","Perfume Árabe","arabe, dama, caja, floral, lattafa","TRUE","Title","Default Title","shopify","11","deny","manual","124000.00","155000.00","TRUE","TRUE","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Lattafa","1","Yara Moi 100 ML","active"
"asad-bourbon-100-ml","Asad Bourbon 100 ML","<p>Asad Bourbon 100 ML: una fragancia amaderada de Lattafa. Estela distintiva y gran calidad a un precio justo, con envío a toda Colombia.</p>","Lattafa","Perfume Árabe","arabe, caballero, caja, amaderado, lattafa","TRUE","Title","Default Title","shopify","13","deny","manual","124000.00","155000.00","TRUE","TRUE","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Lattafa","1","Asad Bourbon 100 ML","active"
"asad-zanzibar-100-ml","Asad Zanzibar 100 ML","<p>Asad Zanzibar 100 ML: una fragancia amaderada de Lattafa. Estela distintiva y gran calidad a un precio justo, con envío a toda Colombia.</p>","Lattafa","Perfume Árabe","arabe, caballero, caja, amaderado, lattafa","TRUE","Title","Default Title","shopify","4","deny","manual","130000.00","","TRUE","TRUE","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Lattafa","1","Asad Zanzibar 100 ML","active"
"asad-lattafa-elixir-100-ml","Asad Lattafa Elixir 100 ML","<p>Asad Lattafa Elixir 100 ML: una fragancia oriental de Lattafa. Estela distintiva y gran calidad a un precio justo, con envío a toda Colombia.</p>","Lattafa","Perfume Árabe","arabe, caballero, caja, oriental, lattafa","TRUE","Title","Default Title","shopify","12","deny","manual","130000.00","","TRUE","TRUE","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Lattafa","1","Asad Lattafa Elixir 100 ML","active"
"oud-for-glory-caja-100-ml","Oud For Glory Caja 100 ML","<p>Oud For Glory Caja 100 ML: una fragancia amaderada de Lattafa. Estela distintiva y gran calidad a un precio justo, con envío a toda Colombia.</p>","Lattafa","Perfume Árabe","arabe, unisex, caja, amaderado, lattafa","TRUE","Title","Default Title","shopify","3","deny","manual","124000.00","","TRUE","TRUE","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Lattafa","1","Oud For Glory Caja 100 ML","active"
"lattafa-amethyst-cofre-100-ml","Lattafa Amethyst Cofre 100 ML","<p>Lattafa Amethyst Cofre 100 ML: una fragancia oriental de Lattafa. Estela distintiva y gran calidad a un precio justo, con envío a toda Colombia.</p>","Lattafa","Perfume Árabe","arabe, dama, cofre, oriental, lattafa","TRUE","Title","Default Title","shopify","15","deny","manual","184000.00","","TRUE","TRUE","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Lattafa","1","Lattafa Amethyst Cofre 100 ML","active"
"lattafa-amethyst-caja-100-ml","Lattafa Amethyst Caja 100 ML","<p>Lattafa Amethyst Caja 100 ML: una fragancia oriental de Lattafa. Estela distintiva y gran calidad a un precio justo, con envío a toda Colombia.</p>","Lattafa","Perfume Árabe","arabe, dama, caja, oriental, lattafa","TRUE","Title","Default Title","shopify","15","deny","manual","124000.00","155000.00","TRUE","TRUE","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Lattafa","1","Lattafa Amethyst Caja 100 ML","active"
"lattafa-sublime-cofre-100-ml","Lattafa Sublime Cofre 100 ML","<p>Lattafa Sublime Cofre 100 ML: una fragancia oriental de Lattafa. Estela distintiva y gran calidad a un precio justo, con envío a toda Colombia.</p>","Lattafa","Perfume Árabe","arabe, unisex, cofre, oriental, lattafa","TRUE","Title","Default Title","shopify","15","deny","manual","184000.00","","TRUE","TRUE","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Lattafa","1","Lattafa Sublime Cofre 100 ML","active"
"lattafa-sublime-caja-100-ml","Lattafa Sublime Caja 100 ML","<p>Lattafa Sublime Caja 100 ML: una fragancia oriental de Lattafa. Estela distintiva y gran calidad a un precio justo, con envío a toda Colombia.</p>","Lattafa","Perfume Árabe","arabe, unisex, caja, oriental, lattafa","TRUE","Title","Default Title","shopify","10","deny","manual","124000.00","","TRUE","TRUE","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Lattafa","1","Lattafa Sublime Caja 100 ML","active"
"honor-y-glory-cofre-100-ml","Honor & Glory Cofre 100 ML","<p>Honor & Glory Cofre 100 ML: una fragancia amaderada de Lattafa. Estela distintiva y gran calidad a un precio justo, con envío a toda Colombia.</p>","Lattafa","Perfume Árabe","arabe, caballero, cofre, amaderado, lattafa","TRUE","Title","Default Title","shopify","11","deny","manual","184000.00","230000.00","TRUE","TRUE","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Lattafa","1","Honor & Glory Cofre 100 ML","active"
"honor-y-glory-caja-100-ml","Honor & Glory Caja 100 ML","<p>Honor & Glory Caja 100 ML: una fragancia amaderada de Lattafa. Estela distintiva y gran calidad a un precio justo, con envío a toda Colombia.</p>","Lattafa","Perfume Árabe","arabe, caballero, caja, amaderado, lattafa","TRUE","Title","Default Title","shopify","8","deny","manual","124000.00","155000.00","TRUE","TRUE","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Lattafa","1","Honor & Glory Caja 100 ML","active"
"noble-blush-cofre-100-ml","Noble Blush Cofre 100 ML","<p>Noble Blush Cofre 100 ML: una fragancia floral de Lattafa. Estela distintiva y gran calidad a un precio justo, con envío a toda Colombia.</p>","Lattafa","Perfume Árabe","arabe, dama, cofre, floral, lattafa","TRUE","Title","Default Title","shopify","15","deny","manual","124000.00","155000.00","TRUE","TRUE","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Lattafa","1","Noble Blush Cofre 100 ML","active"
"ajwad-lattafa-100-ml","Ajwad Lattafa 100 ML","<p>Ajwad Lattafa 100 ML: una fragancia gourmand de Lattafa. Estela distintiva y gran calidad a un precio justo, con envío a toda Colombia.</p>","Lattafa","Perfume Árabe","arabe, unisex, caja, gourmand, lattafa","TRUE","Title","Default Title","shopify","13","deny","manual","124000.00","","TRUE","TRUE","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Lattafa","1","Ajwad Lattafa 100 ML","active"
"fakhar-rose-100-ml","Fakhár Rose 100 ML","<p>Fakhár Rose 100 ML: una fragancia floral de Lattafa. Estela distintiva y gran calidad a un precio justo, con envío a toda Colombia.</p>","Lattafa","Perfume Árabe","arabe, dama, caja, floral, lattafa","TRUE","Title","Default Title","shopify","9","deny","manual","190000.00","238000.00","TRUE","TRUE","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Lattafa","1","Fakhár Rose 100 ML","active"
"fakhar-gold-extrait-100-ml","Fakhár Gold Extrait 100 ML","<p>Fakhár Gold Extrait 100 ML: una fragancia oriental de Lattafa. Estela distintiva y gran calidad a un precio justo, con envío a toda Colombia.</p>","Lattafa","Perfume Árabe","arabe, caballero, caja, oriental, lattafa","TRUE","Title","Default Title","shopify","12","deny","manual","190000.00","","TRUE","TRUE","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Lattafa","1","Fakhár Gold Extrait 100 ML","active"
"shaheen-gold-100-ml","Shaheen Gold 100 ML","<p>Shaheen Gold 100 ML: una fragancia oriental de Lattafa. Estela distintiva y gran calidad a un precio justo, con envío a toda Colombia.</p>","Lattafa","Perfume Árabe","arabe, caballero, caja, oriental, lattafa","TRUE","Title","Default Title","shopify","5","deny","manual","190000.00","238000.00","TRUE","TRUE","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Lattafa","1","Shaheen Gold 100 ML","active"
"shaheen-silver-100-ml","Shaheen Silver 100 ML","<p>Shaheen Silver 100 ML: una fragancia amaderada de Lattafa. Estela distintiva y gran calidad a un precio justo, con envío a toda Colombia.</p>","Lattafa","Perfume Árabe","arabe, caballero, caja, amaderado, lattafa","TRUE","Title","Default Title","shopify","10","deny","manual","190000.00","","TRUE","TRUE","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Lattafa","1","Shaheen Silver 100 ML","active"
"marshmallow-blush-paris-corner-100-ml","Marshmallow Blush Paris Corner 100 ML","<p>Marshmallow Blush Paris Corner 100 ML: una fragancia gourmand de Paris Corner. Estela distintiva y gran calidad a un precio justo, con envío a toda Colombia.</p>","Paris Corner","Perfume Árabe","arabe, dama, caja, gourmand, paris-corner","TRUE","Title","Default Title","shopify","4","deny","manual","190000.00","238000.00","TRUE","TRUE","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Paris%20Corner","1","Marshmallow Blush Paris Corner 100 ML","active"
"liquid-burn-cofre-100-ml","Liquid Burn Cofre 100 ML","<p>Liquid Burn Cofre 100 ML: una fragancia oriental de Paris Corner. Estela distintiva y gran calidad a un precio justo, con envío a toda Colombia.</p>","Paris Corner","Perfume Árabe","arabe, caballero, cofre, oriental, paris-corner","TRUE","Title","Default Title","shopify","5","deny","manual","184000.00","","TRUE","TRUE","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Paris%20Corner","1","Liquid Burn Cofre 100 ML","active"
"vulcan-feu-100-ml","Vulcan Feu 100 ML","<p>Vulcan Feu 100 ML: una fragancia especiada de Maison Alhambra. Estela distintiva y gran calidad a un precio justo, con envío a toda Colombia.</p>","Maison Alhambra","Perfume Árabe","arabe, caballero, caja, especiado, maison-alhambra","TRUE","Title","Default Title","shopify","14","deny","manual","190000.00","238000.00","TRUE","TRUE","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Maison%20Alhambra","1","Vulcan Feu 100 ML","active"
"vulcan-baie-100-ml","Vulcan Baie 100 ML","<p>Vulcan Baie 100 ML: una fragancia fresca de Maison Alhambra. Estela distintiva y gran calidad a un precio justo, con envío a toda Colombia.</p>","Maison Alhambra","Perfume Árabe","arabe, unisex, caja, fresco, maison-alhambra","TRUE","Title","Default Title","shopify","15","deny","manual","190000.00","238000.00","TRUE","TRUE","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Maison%20Alhambra","1","Vulcan Baie 100 ML","active"
"vulcan-sable-100-ml","Vulcan Sable 100 ML","<p>Vulcan Sable 100 ML: una fragancia amaderada de Maison Alhambra. Estela distintiva y gran calidad a un precio justo, con envío a toda Colombia.</p>","Maison Alhambra","Perfume Árabe","arabe, caballero, caja, amaderado, maison-alhambra","TRUE","Title","Default Title","shopify","15","deny","manual","190000.00","","TRUE","TRUE","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Maison%20Alhambra","1","Vulcan Sable 100 ML","active"
"amber-oud-gold-edition-cofre-100-ml","Amber Oud Gold Edition Cofre 100 ML","<p>Amber Oud Gold Edition Cofre 100 ML: una fragancia oriental de Al Haramain. Estela distintiva y gran calidad a un precio justo, con envío a toda Colombia.</p>","Al Haramain","Perfume Árabe","arabe, unisex, cofre, oriental, al-haramain","TRUE","Title","Default Title","shopify","12","deny","manual","184000.00","","TRUE","TRUE","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Al%20Haramain","1","Amber Oud Gold Edition Cofre 100 ML","active"
"island-breeze-armaf-100-ml","Island Breeze Armaf 100 ML","<p>Island Breeze Armaf 100 ML: una fragancia fresca de Armaf. Estela distintiva y gran calidad a un precio justo, con envío a toda Colombia.</p>","Armaf","Perfume Árabe","arabe, caballero, caja, fresco, armaf","TRUE","Title","Default Title","shopify","14","deny","manual","190000.00","238000.00","TRUE","TRUE","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Armaf","1","Island Breeze Armaf 100 ML","active"
"valentino-intense-100-ml","Valentino Intense 100 ML","<p>Valentino Intense 100 ML: una fragancia amaderada de Valentino. Estela distintiva y gran calidad a un precio justo, con envío a toda Colombia.</p>","Valentino","Perfume Masculino","masculino, caballero, caja, amaderado, valentino","TRUE","Title","Default Title","shopify","10","deny","manual","130000.00","163000.00","TRUE","TRUE","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Valentino","1","Valentino Intense 100 ML","active"
"valentino-born-in-roma-100-ml","Valentino Born in Roma 100 ML","<p>Valentino Born in Roma 100 ML: una fragancia amaderada de Valentino. Estela distintiva y gran calidad a un precio justo, con envío a toda Colombia.</p>","Valentino","Perfume Masculino","masculino, caballero, caja, amaderado, valentino","TRUE","Title","Default Title","shopify","15","deny","manual","130000.00","","TRUE","TRUE","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Valentino","1","Valentino Born in Roma 100 ML","active"
"nitro-red-by-dumont-100-ml","Nitro Red by Dumont 100 ML","<p>Nitro Red by Dumont 100 ML: una fragancia especiada de Dumont. Estela distintiva y gran calidad a un precio justo, con envío a toda Colombia.</p>","Dumont","Perfume Masculino","masculino, caballero, caja, especiado, dumont","TRUE","Title","Default Title","shopify","6","deny","manual","144000.00","","TRUE","TRUE","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Dumont","1","Nitro Red by Dumont 100 ML","active"
"stronger-intensely-100-ml","Stronger Intensely 100 ML","<p>Stronger Intensely 100 ML: una fragancia especiada de Emporio Armani. Estela distintiva y gran calidad a un precio justo, con envío a toda Colombia.</p>","Emporio Armani","Perfume Masculino","masculino, caballero, caja, especiado, emporio-armani","TRUE","Title","Default Title","shopify","9","deny","manual","136000.00","","TRUE","TRUE","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Emporio%20Armani","1","Stronger Intensely 100 ML","active"
"scandal-parfum-men-100-ml","Scandal Parfum Men 100 ML","<p>Scandal Parfum Men 100 ML: una fragancia amaderada de Jean Paul Gaultier. Estela distintiva y gran calidad a un precio justo, con envío a toda Colombia.</p>","Jean Paul Gaultier","Perfume Masculino","masculino, caballero, caja, amaderado, jean-paul-gaultier","TRUE","Title","Default Title","shopify","9","deny","manual","136000.00","170000.00","TRUE","TRUE","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Jean%20Paul%20Gaultier","1","Scandal Parfum Men 100 ML","active"
