"Usar (SI/NO)","Producto","Foto sugerida (proveedor)","URL de la foto","Handle"
"SI","Khamrah Lattafa 100 ML","Khamrah – Lattafa","https://cdn.shopify.com/s/files/1/0943/2019/7906/files/KHAMRAHLATAFFA1.jpg?v=1755440082","khamrah-lattafa"
"SI","Yara Lattafa 100 ML","Yara Lataffa","https://cdn.shopify.com/s/files/1/0943/2019/7906/files/YARALATAFFA1.jpg?v=1749820072","yara-lattafa"
"SI","Eclaire Lattafa 100 ML","Eclaire Lataffa","https://cdn.shopify.com/s/files/1/0943/2019/7906/files/ECLAIRELATAFFA1.jpg?v=1749819460","eclaire-lattafa"
"SI","Sauvage Dior 100 ML","Sauvage dior","https://cdn.shopify.com/s/files/1/0943/2019/7906/files/SAUVAGEDIOR1.jpg?v=1749747555","sauvage-dior"
"SI","One Million 100 ML","One million","https://cdn.shopify.com/s/files/1/0943/2019/7906/files/ONEMILLION1.jpg?v=1749732338","one-million"
"SI","Invictus 100 ML","Invictus","https://cdn.shopify.com/s/files/1/0943/2019/7906/files/INVICTUS1.jpg?v=1749732610","invictus"
"SI","Le Male Elixir 120 ML","Le male elixir","https://cdn.shopify.com/s/files/1/0943/2019/7906/files/LEMALEELIXIR1.jpg?v=1749746828","le-male-elixir"
"SI","212 VIP Rosé 80 ML","212 Vip rose","https://cdn.shopify.com/s/files/1/0943/2019/7906/files/212VIPROSE1.jpg?v=1749748763","212-vip-rose"
"SI","Cloud Ariana Grande 100 ML","Cloud ariana grande","https://cdn.shopify.com/s/files/1/0943/2019/7906/files/CLOUDARIANAGRANDE1.jpg?v=1749750306","cloud-ariana-grande"
"SI","Asad Bourbon 100 ML","Asad bourbon","https://cdn.shopify.com/s/files/1/0943/2019/7906/files/ASADBURBONLATAFFA1.jpg?v=1749817755","asad-bourbon-100-ml"
"SI","Le Male Le Parfum 120 ML","Le Male Le Parfum","https://cdn.shopify.com/s/files/1/0943/2019/7906/files/37.svg?v=1755444089","le-male-le-parfum-120-ml"
"SI","One Million Royal 100 ML","One million royal","https://cdn.shopify.com/s/files/1/0943/2019/7906/files/ONEMILLIONROYAL1.jpg?v=1749732484","one-million-royal-100-ml"
"","Valentino Born in Roma 100 ML","Valentino Born in Roma Intense","https://cdn.shopify.com/s/files/1/0943/2019/7906/files/VALENTINOBORNINROMAINTENSE1.jpg?v=1749819104","valentino-born-in-roma-100-ml"
"","Oud For Glory Cofre 100 ML","Oud For Glory","https://cdn.shopify.com/s/files/1/0943/2019/7906/files/OUDFORGLORY1.jpg?v=1749818923","oud-for-glory-cofre"
"","Stronger With You 100 ML","Stronger With You Intensely","https://cdn.shopify.com/s/files/1/0943/2019/7906/files/STRONGERWITHYOYINTENSLY1.jpg?v=1749819041","stronger-with-you"
"","Oud For Glory Caja 100 ML","Oud For Glory","https://cdn.shopify.com/s/files/1/0943/2019/7906/files/OUDFORGLORY1.jpg?v=1749818923","oud-for-glory-caja-100-ml"
"","Le Male Elixir Absolu 120 ML","Le male elixir","https://cdn.shopify.com/s/files/1/0943/2019/7906/files/LEMALEELIXIR1.jpg?v=1749746828","le-male-elixir-absolu-120-ml"
"","Le Male Elixir Lata 120 ML","Le male elixir","https://cdn.shopify.com/s/files/1/0943/2019/7906/files/LEMALEELIXIR1.jpg?v=1749746828","le-male-elixir-lata-120-ml"
"","212 VIP Red Rose 80 ML","212 Vip rose","https://cdn.shopify.com/s/files/1/0943/2019/7906/files/212VIPROSE1.jpg?v=1749748763","212-vip-red-rose-80-ml"
"","Cloud Pink Ariana Grande 100 ML","Cloud ariana grande","https://cdn.shopify.com/s/files/1/0943/2019/7906/files/CLOUDARIANAGRANDE1.jpg?v=1749750306","cloud-pink-ariana-grande-100-ml"
"","Haya Lattafa Cofre 100 ML","Haya Lataffa","https://cdn.shopify.com/s/files/1/0943/2019/7906/files/HAYALATAFFA1.jpg?v=1749819517","haya-lattafa-cofre-100-ml"
"","Haya Lattafa Caja 100 ML","Haya Lataffa","https://cdn.shopify.com/s/files/1/0943/2019/7906/files/HAYALATAFFA1.jpg?v=1749819517","haya-lattafa-caja-100-ml"
"","Khamrah Lattafa Cofre 100 ML","Khamrah – Lattafa","https://cdn.shopify.com/s/files/1/0943/2019/7906/files/KHAMRAHLATAFFA1.jpg?v=1755440082","khamrah-lattafa-cofre-100-ml"
"","Yara Lattafa Elixir 100 ML","Yara Lataffa","https://cdn.shopify.com/s/files/1/0943/2019/7906/files/YARALATAFFA1.jpg?v=1749820072","yara-lattafa-elixir-100-ml"
"","Yara Candy 100 ML","Yara Candy Lataffa","https://cdn.shopify.com/s/files/1/0943/2019/7906/files/YARACANDY1_1.jpg?v=1749820023","yara-candy-100-ml"
"","Lattafa Amethyst Cofre 100 ML","Amethyst – Lattafa","https://cdn.shopify.com/s/files/1/0943/2019/7906/files/AMETHYSTALATAFFA1.jpg?v=1749819203","lattafa-amethyst-cofre-100-ml"
"","Lattafa Amethyst Caja 100 ML","Amethyst – Lattafa","https://cdn.shopify.com/s/files/1/0943/2019/7906/files/AMETHYSTALATAFFA1.jpg?v=1749819203","lattafa-amethyst-caja-100-ml"
"","Lattafa Sublime Cofre 100 ML","Sublime Lataffa","https://cdn.shopify.com/s/files/1/0943/2019/7906/files/SUBLIMELATAFFA1.jpg?v=1749819911","lattafa-sublime-cofre-100-ml"
"","Lattafa Sublime Caja 100 ML","Sublime Lataffa","https://cdn.shopify.com/s/files/1/0943/2019/7906/files/SUBLIMELATAFFA1.jpg?v=1749819911","lattafa-sublime-caja-100-ml"
"","Scandal Parfum Men 100 ML","Scandal men","https://cdn.shopify.com/s/files/1/0943/2019/7906/files/SCANDALMEN1.jpg?v=1749747902","scandal-parfum-men-100-ml"
"","Scandal Men JP 100 ML","Scandal men","https://cdn.shopify.com/s/files/1/0943/2019/7906/files/SCANDALMEN1.jpg?v=1749747902","scandal-men-jp-100-ml"
"","Sauvage Elixir Dior 60 ML","Sauvage elixir","https://cdn.shopify.com/s/files/1/0943/2019/7906/files/SAUVAGEELIXIR1.jpg?v=1749747634","sauvage-elixir-dior-60-ml"
"","One Million Gold 100 ML","One million","https://cdn.shopify.com/s/files/1/0943/2019/7906/files/ONEMILLION1.jpg?v=1749732338","one-million-gold-100-ml"
"","One Million Lucky 100 ML","One million","https://cdn.shopify.com/s/files/1/0943/2019/7906/files/ONEMILLION1.jpg?v=1749732338","one-million-lucky-100-ml"
"","One Million Prive 100 ML","One million","https://cdn.shopify.com/s/files/1/0943/2019/7906/files/ONEMILLION1.jpg?v=1749732338","one-million-prive-100-ml"
"","One Million Elixir 100 ML","One million","https://cdn.shopify.com/s/files/1/0943/2019/7906/files/ONEMILLION1.jpg?v=1749732338","one-million-elixir-100-ml"
"","One Million Parfum 100 ML","One million","https://cdn.shopify.com/s/files/1/0943/2019/7906/files/ONEMILLION1.jpg?v=1749732338","one-million-parfum-100-ml"
"","Thank U Next Ariana Grande 100 ML","Thank U, Next","https://cdn.shopify.com/s/files/1/0943/2019/7906/files/THANKUNEXTARIANAGRANDE1.jpg?v=1749817539","thank-u-next-ariana-grande-100-ml"
"","Asad Lattafa 100 ML","Asad","https://cdn.shopify.com/s/files/1/0943/2019/7906/files/ASADLATAFFA1.jpg?v=1749817846","asad-lattafa"
"","Asad Zanzibar 100 ML","Asad","https://cdn.shopify.com/s/files/1/0943/2019/7906/files/ASADLATAFFA1.jpg?v=1749817846","asad-zanzibar-100-ml"
"","Honor & Glory Cofre 100 ML","Honor & Glory Latffa","https://cdn.shopify.com/s/files/1/0943/2019/7906/files/HONOR_GLORY1.jpg?v=1749819566","honor-y-glory-cofre-100-ml"
"","Honor & Glory Caja 100 ML","Honor & Glory Latffa","https://cdn.shopify.com/s/files/1/0943/2019/7906/files/HONOR_GLORY1.jpg?v=1749819566","honor-y-glory-caja-100-ml"
"","Noble Blush Cofre 100 ML","Noble Blush Lataffa","https://cdn.shopify.com/s/files/1/0943/2019/7906/files/NOBLEBLUSH1.jpg?v=1749819711","noble-blush-cofre-100-ml"
"","Stronger Intensely 100 ML","Stronger With You Intensely","https://cdn.shopify.com/s/files/1/0943/2019/7906/files/STRONGERWITHYOYINTENSLY1.jpg?v=1749819041","stronger-intensely-100-ml"
"","Jean Paul Le Beau Parfum 120 ML","Le beau le parfum lata","https://cdn.shopify.com/s/files/1/0943/2019/7906/files/LEBEAULEPARFUM1.jpg?v=1749746365","jean-paul-le-beau-parfum-120-ml"
"","Le Male Lata 120 ML","Le Male Le Parfum","https://cdn.shopify.com/s/files/1/0943/2019/7906/files/37.svg?v=1755444089","le-male-lata-120-ml"
"","Invictus Parfum 100 ML","Invictus","https://cdn.shopify.com/s/files/1/0943/2019/7906/files/INVICTUS1.jpg?v=1749732610","invictus-parfum-100-ml"
"","Invictus Legend 100 ML","Invictus","https://cdn.shopify.com/s/files/1/0943/2019/7906/files/INVICTUS1.jpg?v=1749732610","invictus-legend-100-ml"
"","Invictus Intense 100 ML","Invictus","https://cdn.shopify.com/s/files/1/0943/2019/7906/files/INVICTUS1.jpg?v=1749732610","invictus-intense-100-ml"
"","212 VIP Dama 80 ML","212 Vip rose","https://cdn.shopify.com/s/files/1/0943/2019/7906/files/212VIPROSE1.jpg?v=1749748763","212-vip-dama-80-ml"
"","Amber Oud Gold Edition Cofre 100 ML","Al haramain amber oud gold","https://cdn.shopify.com/s/files/1/0943/2019/7906/files/ALHARAMAINAMBEROUDGOLD1.jpg?v=1749817706","amber-oud-gold-edition-cofre-100-ml"
"","Set Bolso + Crema + Perfume 60 ML + Mandarin Sky","Set Mandarin Sky Limited Edition","https://cdn.shopify.com/s/files/1/0943/2019/7906/files/Diseno_sin_titulo_2.jpg?v=1763142357","set-bolso-crema-perfume-60-ml-mandarin-sky"
"","Valentino Intense 100 ML","Valentino Born in Roma Intense","https://cdn.shopify.com/s/files/1/0943/2019/7906/files/VALENTINOBORNINROMAINTENSE1.jpg?v=1749819104","valentino-intense-100-ml"
"","212 VIP Wins Woman 80 ML","212 Vip rose","https://cdn.shopify.com/s/files/1/0943/2019/7906/files/212VIPROSE1.jpg?v=1749748763","212-vip-wins-woman-80-ml"